Glottocode,LanguageName,Phoneme,affiliation
akaw1239,AKAWAIO,p,Cariban
akaw1239,AKAWAIO,R̪|R,Cariban
akaw1239,AKAWAIO,s̪|s,Cariban
akaw1239,AKAWAIO,t̪|t,Cariban
akaw1239,AKAWAIO,u,Cariban
akaw1239,AKAWAIO,w,Cariban
akaw1239,AKAWAIO,z̪|z,Cariban
alab1237,ALABAMA,a,Muskogean
alab1237,ALABAMA,b,Muskogean
alab1237,ALABAMA,e,Muskogean
alab1237,ALABAMA,h,Muskogean
alab1237,ALABAMA,j,Muskogean
alab1237,ALABAMA,k,Muskogean
alab1237,ALABAMA,l̪|l,Muskogean
alab1237,ALABAMA,ɬ̪|ɬ,Muskogean
alab1237,ALABAMA,m,Muskogean
alab1237,ALABAMA,n̪|n,Muskogean
alab1237,ALABAMA,o,Muskogean
alab1237,ALABAMA,p,Muskogean
alab1237,ALABAMA,ɸ,Muskogean
alab1237,ALABAMA,s,Muskogean
alab1237,ALABAMA,t̪,Muskogean
alab1237,ALABAMA,t̠ʃ,Muskogean
alab1237,ALABAMA,w,Muskogean
qawa1238,QAWASQAR,a,Kaweskaran
qawa1238,QAWASQAR,ə,Kaweskaran
qawa1238,QAWASQAR,f,Kaweskaran
qawa1238,QAWASQAR,j,Kaweskaran
qawa1238,QAWASQAR,k,Kaweskaran
qawa1238,QAWASQAR,kʼ,Kaweskaran
qawa1238,QAWASQAR,l,Kaweskaran
qawa1238,QAWASQAR,m,Kaweskaran
qawa1238,QAWASQAR,n,Kaweskaran
qawa1238,QAWASQAR,o̞,Kaweskaran
qawa1238,QAWASQAR,p,Kaweskaran
qawa1238,QAWASQAR,ɾ,Kaweskaran
qawa1238,QAWASQAR,s,Kaweskaran
qawa1238,QAWASQAR,t,Kaweskaran
qawa1238,QAWASQAR,t̠ʃ,Kaweskaran
qawa1238,QAWASQAR,t̠ʃʼ,Kaweskaran
qawa1238,QAWASQAR,tʼ,Kaweskaran
qawa1238,QAWASQAR,w,Kaweskaran
qawa1238,QAWASQAR,x,Kaweskaran
alla1248,ALLADIAN,a,Niger-Congo
alla1248,ALLADIAN,ã,Niger-Congo
alla1248,ALLADIAN,b,Niger-Congo
alla1248,ALLADIAN,c,Niger-Congo
alla1248,ALLADIAN,d,Niger-Congo
alla1248,ALLADIAN,e,Niger-Congo
alla1248,ALLADIAN,ɛ,Niger-Congo
alla1248,ALLADIAN,ɛ̃,Niger-Congo
alla1248,ALLADIAN,f,Niger-Congo
alla1248,ALLADIAN,ɡ,Niger-Congo
alla1248,ALLADIAN,ɡb,Niger-Congo
alla1248,ALLADIAN,h,Niger-Congo
alla1248,ALLADIAN,i,Niger-Congo
alla1248,ALLADIAN,ɪ,Niger-Congo
alla1248,ALLADIAN,j,Niger-Congo
alla1248,ALLADIAN,ɟ,Niger-Congo
alla1248,ALLADIAN,k,Niger-Congo
alla1248,ALLADIAN,kp,Niger-Congo
alla1248,ALLADIAN,l,Niger-Congo
alla1248,ALLADIAN,m,Niger-Congo
alla1248,ALLADIAN,n,Niger-Congo
alla1248,ALLADIAN,ɲ,Niger-Congo
alla1248,ALLADIAN,o,Niger-Congo
alla1248,ALLADIAN,ɔ,Niger-Congo
alla1248,ALLADIAN,ɔ̃,Niger-Congo
alla1248,ALLADIAN,p,Niger-Congo
alla1248,ALLADIAN,ɾ,Niger-Congo
alla1248,ALLADIAN,s,Niger-Congo
alla1248,ALLADIAN,ʃ,Niger-Congo
alla1248,ALLADIAN,t,Niger-Congo
alla1248,ALLADIAN,u,Niger-Congo
alla1248,ALLADIAN,ɥ,Niger-Congo
alla1248,ALLADIAN,v,Niger-Congo
alla1248,ALLADIAN,w,Niger-Congo
alla1248,ALLADIAN,z,Niger-Congo
alla1248,ALLADIAN,ʒ,Niger-Congo
aleu1260,ALEUT,a,Eskimo-Aleut
aleu1260,ALEUT,ð,Eskimo-Aleut
aleu1260,ALEUT,ɣ,Eskimo-Aleut
aleu1260,ALEUT,h,Eskimo-Aleut
aleu1260,ALEUT,i,Eskimo-Aleut
aleu1260,ALEUT,j,Eskimo-Aleut
aleu1260,ALEUT,j̥,Eskimo-Aleut
aleu1260,ALEUT,k,Eskimo-Aleut
aleu1260,ALEUT,l̪|l,Eskimo-Aleut
aleu1260,ALEUT,ɬ̪|ɬ,Eskimo-Aleut
aleu1260,ALEUT,m,Eskimo-Aleut
aleu1260,ALEUT,m̥,Eskimo-Aleut
aleu1260,ALEUT,n̪|n,Eskimo-Aleut
aleu1260,ALEUT,n̪̥|n̥,Eskimo-Aleut
aleu1260,ALEUT,ŋ,Eskimo-Aleut
aleu1260,ALEUT,ŋ̥,Eskimo-Aleut
aleu1260,ALEUT,q,Eskimo-Aleut
aleu1260,ALEUT,ʁ,Eskimo-Aleut
aleu1260,ALEUT,ʃ,Eskimo-Aleut
aleu1260,ALEUT,t̪|t,Eskimo-Aleut
aleu1260,ALEUT,t̪s̪|ts,Eskimo-Aleut
aleu1260,ALEUT,u,Eskimo-Aleut
aleu1260,ALEUT,w,Eskimo-Aleut
aleu1260,ALEUT,ʍ,Eskimo-Aleut
aleu1260,ALEUT,x,Eskimo-Aleut
aleu1260,ALEUT,ʒ,Eskimo-Aleut
aleu1260,ALEUT,χ,Eskimo-Aleut
alaw1244,ALAWA,a,Australian
alaw1244,ALAWA,e̞,Australian
alaw1244,ALAWA,ɪ,Australian
alaw1244,ALAWA,j,Australian
alaw1244,ALAWA,k,Australian
alaw1244,ALAWA,l,Australian
alaw1244,ALAWA,l̠,Australian
alaw1244,ALAWA,ɭ,Australian
alaw1244,ALAWA,m,Australian
alaw1244,ALAWA,mb,Australian
alaw1244,ALAWA,n,Australian
alaw1244,ALAWA,n̠,Australian
alaw1244,ALAWA,nd,Australian
alaw1244,ALAWA,n̠d̠,Australian
alaw1244,ALAWA,ɳ,Australian
alaw1244,ALAWA,ɳɖ,Australian
alaw1244,ALAWA,ŋ,Australian
alaw1244,ALAWA,ŋɡ,Australian
alaw1244,ALAWA,p,Australian
alaw1244,ALAWA,r,Australian
alaw1244,ALAWA,ɹ,Australian
alaw1244,ALAWA,t,Australian
alaw1244,ALAWA,t̠,Australian
alaw1244,ALAWA,ʈ,Australian
alaw1244,ALAWA,ɯ̞,Australian
alaw1244,ALAWA,w,Australian
tosk1239,ALBANIAN,a,Indo-European
tosk1239,ALBANIAN,b,Indo-European
tosk1239,ALBANIAN,cç,Indo-European
tosk1239,ALBANIAN,d̪,Indo-European
tosk1239,ALBANIAN,ð,Indo-European
tosk1239,ALBANIAN,d̪z̪|dz,Indo-European
tosk1239,ALBANIAN,d̠ʒ,Indo-European
tosk1239,ALBANIAN,e̞,Indo-European
tosk1239,ALBANIAN,ə,Indo-European
tosk1239,ALBANIAN,f,Indo-European
tosk1239,ALBANIAN,ɡ,Indo-European
tosk1239,ALBANIAN,h,Indo-European
tosk1239,ALBANIAN,i,Indo-European
tosk1239,ALBANIAN,j,Indo-European
tosk1239,ALBANIAN,ɟʝ,Indo-European
tosk1239,ALBANIAN,k,Indo-European
tosk1239,ALBANIAN,l,Indo-European
tosk1239,ALBANIAN,lˠ,Indo-European
tosk1239,ALBANIAN,m,Indo-European
tosk1239,ALBANIAN,n,Indo-European
tosk1239,ALBANIAN,n̠,Indo-European
tosk1239,ALBANIAN,o̞,Indo-European
tosk1239,ALBANIAN,p,Indo-European
tosk1239,ALBANIAN,r̪|r,Indo-European
tosk1239,ALBANIAN,s̪,Indo-European
tosk1239,ALBANIAN,ʃ,Indo-European
tosk1239,ALBANIAN,t̪,Indo-European
tosk1239,ALBANIAN,t̪s̪|ts,Indo-European
tosk1239,ALBANIAN,t̠ʃ,Indo-European
tosk1239,ALBANIAN,u,Indo-European
tosk1239,ALBANIAN,v,Indo-European
tosk1239,ALBANIAN,y,Indo-European
tosk1239,ALBANIAN,z̪,Indo-European
tosk1239,ALBANIAN,ʒ,Indo-European
tosk1239,ALBANIAN,θ,Indo-European
amah1246,AMAHUACA,a,Panoan
amah1246,AMAHUACA,ã,Panoan
amah1246,AMAHUACA,h,Panoan
amah1246,AMAHUACA,ɪ,Panoan
amah1246,AMAHUACA,ɪ̃,Panoan
amah1246,AMAHUACA,j,Panoan
amah1246,AMAHUACA,k,Panoan
amah1246,AMAHUACA,m,Panoan
amah1246,AMAHUACA,n̪|n,Panoan
amah1246,AMAHUACA,o̞,Panoan
amah1246,AMAHUACA,õ̞,Panoan
amah1246,AMAHUACA,p,Panoan
amah1246,AMAHUACA,ɾ̪|ɾ,Panoan
amah1246,AMAHUACA,s̪|s,Panoan
amah1246,AMAHUACA,t̪|t,Panoan
